nombre,telefono,web,estado_web,prioridad,email
Cerrajeros Córdoba 24 Horas - Fausto Ramos,· 618 11 89 00,https://cerrajeroscordoba.info/,web_presente,baja,administracion@multiservicioselsanto.com
Cerrajeros Córdoba Joaquín de la Vega 24 H,· 957 25 30 35,http://www.cerrajeros-cordoba.es/,web_presente,baja,
Cerrajería José Carlos Martín,· 957 41 11 22,http://www.cerrajeriajosecarlos.com/,web_presente,baja,info@cerrajeriajosecarlos.com
Diéguez Cerrajeros,· 957 25 16 80,https://www.cerrajerodieguez.com/,web_presente,baja,
Reparaciones y Montajes Cerezo,· 676 78 46 22,http://www.cerrajeroscerezo.es/,web_presente,baja,reparamoncerezo@gmail.com
Tecnikey Security S.L.,· 630 70 07 01,https://tecnikey.es/,web_presente,baja,tecnikey@gmail.com
CERRAJERÍA PUNTAS,· 669 25 74 93,https://www.hermanospuntascerrajeros.com/,web_presente,baja,info@hermanospuntascerrajeros.com
Cerrajero Córdoba - Cerrajeros Reparasur,· 615 33 71 41,https://www.cerrajero-cordoba.es/,web_presente,baja,
FERRETERÍA PUNTAS,· 957 49 15 63,http://www.hermanospuntascerrajeros.com/,web_presente,baja,info@hermanospuntascerrajeros.com
El Cerrajero de Córdoba,· 623 98 51 15,https://elcerrajerocordoba.es/,web_presente,baja,
"Cerrajería, Al Segundo",· 679 24 92 97,http://m.facebook.com/Al-Sengundo-C%C3%B3rdoba-627316847414093/,solo_red_social,alta,
Cerrajero y Ferretería El Rastrillo,· 652 96 25 02,https://ferreteriaelrastrillo.com/,web_presente,baja,
Cerrajero Córdoba,857 64 01 45,https://cerrajero-cordoba.com/,web_presente,baja,info@cerrajero-cordoba.com
