nombre,telefono,web,estado_web,prioridad
Clínica Capilar Plus,665 82 43 91,/aclk?sa=L&ai=DChsSEwiIxdf9472SAxUKOwYAHYFqAXUYACICCAEQCBoCd3M&co=1&ase=2&gclid=EAIaIQobChMIiMXX_eO9kgMVCjsGAB2BagF1EBAYASAAEgKSSPD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_076gMPtLCIuIrB56JsG6OtkcBbCQ&q=&nis=4&ctype=99&ved=2ahUKEwi82dD9472SAxUHe6QEHf2RFKYQhKwBegQIHhAQ&adurl=,web_presente,baja
Clínica Doctora Cristina Carrasco,955 38 51 53,/aclk?sa=L&ai=DChsSEwiIxdf9472SAxUKOwYAHYFqAXUYACICCAEQABoCd3M&co=1&ase=2&gclid=EAIaIQobChMIiMXX_eO9kgMVCjsGAB2BagF1EBAYAiAAEgJuhfD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_22HVOLDZSTY0h9pbfoMg92VgpMow&q=&nis=4&ctype=99&ved=2ahUKEwi82dD9472SAxUHe6QEHf2RFKYQhKwBegQIHhAi&adurl=,web_presente,baja
Centro de Estética y Belleza en Sevilla Centro - Phi Belleza Natural,· 644 77 70 85,http://phibellezanatural.es/,web_presente,baja
Centro Estética Sevilla - Mayte Garrido,· 954 52 06 60,https://centroesteticamaytegarrido.com/,web_presente,baja
Clínica de Medicina Estética Juvent,· 955 32 02 89,https://www.clinicajuvent.com/?utm_source=google&utm_medium=gmb&utm_campaign=gmb_button,web_presente,baja
Clínica Vene | Clínica de Medicina Estética en Sevilla,· 631 26 75 15,https://www.clinicasvene.es/,web_presente,baja
Instituto Lynch - Depilación Láser y Estética en Sevilla Centro,· 954 21 10 66,https://institutolynch.es/,web_presente,baja
Clínicas Dra. Yasmin Sevilla,· 613 00 34 78,https://www.clinicayasmin.com/,web_presente,baja
Estética Avanzada Azahares,· 692 38 37 04,https://calendar.app.google/HTVqmHGk3PfM38pc6,web_presente,baja
Alma Natural Beauty,· 954 41 80 48,https://almanaturalbeauty.es/,web_presente,baja
Centro de Estética Carmen Navarro,· 954 21 93 79,https://carmennavarro.com/,web_presente,baja
Centro de Estética Dosanas,· 637 49 25 61,https://www.dosanas.es/,web_presente,baja
Clínica Marest,· 954 41 30 56,http://www.clinicamarest.com/,web_presente,baja
Centro de estetica Perla negra,· 634 79 76 27,https://centroperlanegra.com/,web_presente,baja
Maran Centro Estético,· 955 51 07 26,,sin_web,muy_alta
NOA Beauty,· 633 01 03 97,https://www.treatwell.es/establecimiento/noa-beauty/,web_presente,baja
Centro Médico Estético Sevilla Los Remedios,· 954 04 50 82,http://www.centromedicoesteticosevillalosremedios.es/,web_presente,baja
Clínica Médico Estética Masbellezza Nervión,· 674 16 32 67,https://masbellezzanervion.com/,web_presente,baja
Natalia Del Valle Centro de estética,· 670 73 28 26,,sin_web,muy_alta
Estetica Diez Centro especializado en electrodepilación,· 629 22 20 80,http://www.esteticadiez.com/,web_presente,baja
Centro de Estética en Sevilla | Cecilia García,· 656 83 76 52,https://esteticasevilla.com.es/,web_presente,baja
Evelyn Centro de Estética - Sevilla,· 623 42 94 64,https://beauty.es.wwwcafe.de/evelyn-centro-de-estetica/,web_presente,baja
Clínica Capilar Plus,665 82 43 91,/aclk?sa=L&ai=DChsSEwiIxdf9472SAxUKOwYAHYFqAXUYACICCAEQCBoCd3M&co=1&ase=2&gclid=EAIaIQobChMIiMXX_eO9kgMVCjsGAB2BagF1EBAYASAAEgKSSPD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_076gMPtLCIuIrB56JsG6OtkcBbCQ&q=&nis=4&ctype=99&ved=2ahUKEwi82dD9472SAxUHe6QEHf2RFKYQhKwBegQIHhAQ&adurl=,web_presente,baja
Clínica Doctora Cristina Carrasco,955 38 51 53,/aclk?sa=L&ai=DChsSEwiIxdf9472SAxUKOwYAHYFqAXUYACICCAEQABoCd3M&co=1&ase=2&gclid=EAIaIQobChMIiMXX_eO9kgMVCjsGAB2BagF1EBAYAiAAEgJuhfD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_22HVOLDZSTY0h9pbfoMg92VgpMow&q=&nis=4&ctype=99&ved=2ahUKEwi82dD9472SAxUHe6QEHf2RFKYQhKwBegQIHhAi&adurl=,web_presente,baja
Centro de Estética y Belleza en Sevilla Centro - Phi Belleza Natural,· 644 77 70 85,http://phibellezanatural.es/,web_presente,baja
Centro Estética Sevilla - Mayte Garrido,· 954 52 06 60,https://centroesteticamaytegarrido.com/,web_presente,baja
Clínica de Medicina Estética Juvent,· 955 32 02 89,https://www.clinicajuvent.com/?utm_source=google&utm_medium=gmb&utm_campaign=gmb_button,web_presente,baja
Clínica Vene | Clínica de Medicina Estética en Sevilla,· 631 26 75 15,https://www.clinicasvene.es/,web_presente,baja
Instituto Lynch - Depilación Láser y Estética en Sevilla Centro,· 954 21 10 66,https://institutolynch.es/,web_presente,baja
Clínicas Dra. Yasmin Sevilla,· 613 00 34 78,https://www.clinicayasmin.com/,web_presente,baja
