nombre,telefono,web,estado_web,prioridad
Fontaneros de Córdoba,· 957 06 02 93,https://fontanerosdecordoba.es/,web_presente,baja
URBICOR,· 857 69 21 01,http://www.urbicor.net/,web_presente,baja
Imfrycor,· 696 53 15 83,,sin_web,muy_alta
Fontanería El Arcángel,· 957 75 04 40,https://www.fontaneriaelarcangel.com/,web_presente,baja
Desatascos Córdoba | El Califa,· 606 53 56 68,http://desatascosencordoba.net/,web_presente,baja
Fontanero Cordoba,630 58 28 39,http://www.fontanerocordoba.es/,web_presente,baja
Fontaneria Manuel Cabello,· 678 59 51 50,,sin_web,muy_alta
Moyano Instalaciones y Reparaciones,· 680 36 07 71,https://www.facebook.com/MoyanoInstalacionesYReparaciones,solo_red_social,alta
Desatascos Integrales Al Andalus,· 670 87 57 32,https://www.desatascosalandalus.com/,web_presente,baja
Fontanería Cabello Casado Viñuela,,,sin_web,muy_alta
Canalejo Sanchez S.L.,· 957 27 01 82,https://www.canalejosanchezfontaneria.com/,web_presente,baja
Marcos Gamero,· 957 29 00 17,http://www.marcosgamero.com/,web_presente,baja
Fontanero Córdoba | Procoim,607 78 58 80,http://procoim.es/,web_presente,baja
Fontaneria Resinar Sl,957 32 28 03,,sin_web,muy_alta
Fontanería Gonzalo Haro,664 29 82 42,,sin_web,muy_alta
Manitas cordoba,· 634 85 36 18,https://manitascordoba.com/,web_presente,baja
Saneamientos Amador Moreno,· 957 47 81 65,http://www.saneamientosamadormoreno.com/,web_presente,baja
Saneamientos,,,sin_web,muy_alta
Depuratec,· 633 01 02 49,https://depuratec.com/,web_presente,baja
BESER ASISTENCIA S.L. - Multiservicios en Cordoba - Fontaneros en Cordoba - Reformas en Cordoba,· 957 32 67 84,http://www.beserasistencia.net/,web_presente,baja
Canalejo Sanchez S.L.,· 957 27 01 82,https://www.canalejosanchezfontaneria.com/,web_presente,baja
Marcos Gamero,· 957 29 00 17,http://www.marcosgamero.com/,web_presente,baja
Fontanero Córdoba | Procoim,607 78 58 80,http://procoim.es/,web_presente,baja
Fontaneria Resinar Sl,957 32 28 03,,sin_web,muy_alta
Fontanería Gonzalo Haro,664 29 82 42,,sin_web,muy_alta
Manitas cordoba,· 634 85 36 18,https://manitascordoba.com/,web_presente,baja
Saneamientos Amador Moreno,· 957 47 81 65,http://www.saneamientosamadormoreno.com/,web_presente,baja
Saneamientos,,,sin_web,muy_alta
Depuratec,· 633 01 02 49,https://depuratec.com/,web_presente,baja
BESER ASISTENCIA S.L. - Multiservicios en Cordoba - Fontaneros en Cordoba - Reformas en Cordoba,· 957 32 67 84,http://www.beserasistencia.net/,web_presente,baja
FONTANERIA ANDALUCIA,,,sin_web,muy_alta
Fontanería La Viñuela,· 658 07 94 65,,sin_web,muy_alta
