nombre,telefono,web,estado_web,prioridad
Laooal Jaén,· 623 32 81 47,https://laooal.com/,web_presente,baja
Centro de estética María Ordóñez - Jaén,· 653 91 79 24,https://beauty.es.wwwcafe.de/centro-de-estetica-maria-ordonez/,web_presente,baja
Clínica Dra. Isabel Cruz. Medicina Estética.,· 953 10 07 86,http://www.isabelcruzmedicinaestetica.com/,web_presente,baja
UYC JAEN - Centro de Estética en Jaén y salón de belleza,· 656 84 99 98,http://uycjaen.booksy.com/a/,web_presente,baja
Clínica Médico Estética en Jaén - Doctora Rivas,· 953 02 22 58,http://drarivas.com/,web_presente,baja
Bodyluz,· 953 04 09 49,http://www.bodyluz.es/,web_presente,baja
Bellarmony,· 953 44 89 83,https://www.bellarmony.com/,web_presente,baja
Peluquería - Estética Avanzada VBello Equilibrio,· 662 06 69 82,https://www.vbelloequilibrio.com/,web_presente,baja
Cellulem Block Corporal y Facial,· 953 08 67 07,https://cellulemblockjaen.es/,web_presente,baja
"Cristina Cruz, beauty concept - Jaén",· 647 55 21 43,https://beauty.es.wwwcafe.de/terabell/,web_presente,baja
"Bellavita, Centros Médico-Estéticos",· 953 81 25 33,http://www.centrosbellavita.com/,web_presente,baja
Centro Estética YOHANA,· 610 41 26 56,,sin_web,muy_alta
Centro de belleza Isabella - Jaén,· 633 35 81 90,https://spa.yellowpages.ivof.com/centro-de-belleza-isabella/,web_presente,baja
Centro de Belleza AnnanDa,· 648 74 87 89,,sin_web,muy_alta
"Vanesa Lopez, spa de manos y pies",· 953 03 62 05,https://www.facebook.com/VANESA-L%C3%93PEZ-SPA-DE-MANOS-Y-PIES-260670130610237/,solo_red_social,alta
Munai,· 678 12 14 54,https://munai.es/,web_presente,baja
Centro de Estética Victoria,· 953 27 00 71,http://centroesteticavictoria.com/,web_presente,baja
Clínica Laser Xauen JAÉN,· 953 82 18 21,http://www.laserxauen.com/,web_presente,baja
Emehache Salud y Belleza,· 605 59 01 69,https://instagram.com/emehachesaludybelleza,solo_red_social,alta
Centro Estético Mayka Castillo,· 644 88 68 57,,sin_web,muy_alta
Laooal Jaén,· 623 32 81 47,https://laooal.com/,web_presente,baja
Centro de estética María Ordóñez - Jaén,· 653 91 79 24,https://beauty.es.wwwcafe.de/centro-de-estetica-maria-ordonez/,web_presente,baja
Clínica Dra. Isabel Cruz. Medicina Estética.,· 953 10 07 86,http://www.isabelcruzmedicinaestetica.com/,web_presente,baja
UYC JAEN - Centro de Estética en Jaén y salón de belleza,· 656 84 99 98,http://uycjaen.booksy.com/a/,web_presente,baja
Clínica Médico Estética en Jaén - Doctora Rivas,· 953 02 22 58,http://drarivas.com/,web_presente,baja
Bodyluz,· 953 04 09 49,http://www.bodyluz.es/,web_presente,baja
Bellarmony,· 953 44 89 83,https://www.bellarmony.com/,web_presente,baja
Peluquería - Estética Avanzada VBello Equilibrio,· 662 06 69 82,https://www.vbelloequilibrio.com/,web_presente,baja
Cellulem Block Corporal y Facial,· 953 08 67 07,https://cellulemblockjaen.es/,web_presente,baja
"Cristina Cruz, beauty concept - Jaén",· 647 55 21 43,https://beauty.es.wwwcafe.de/terabell/,web_presente,baja
"Bellavita, Centros Médico-Estéticos",· 953 81 25 33,http://www.centrosbellavita.com/,web_presente,baja
Centro Estética YOHANA,· 610 41 26 56,,sin_web,muy_alta
Centro de belleza Isabella - Jaén,· 633 35 81 90,https://spa.yellowpages.ivof.com/centro-de-belleza-isabella/,web_presente,baja
Centro de Belleza AnnanDa,· 648 74 87 89,,sin_web,muy_alta
"Vanesa Lopez, spa de manos y pies",· 953 03 62 05,https://www.facebook.com/VANESA-L%C3%93PEZ-SPA-DE-MANOS-Y-PIES-260670130610237/,solo_red_social,alta
Munai,· 678 12 14 54,https://munai.es/,web_presente,baja
Centro de Estética Victoria,· 953 27 00 71,http://centroesteticavictoria.com/,web_presente,baja
Clínica Laser Xauen JAÉN,· 953 82 18 21,http://www.laserxauen.com/,web_presente,baja
Emehache Salud y Belleza,· 605 59 01 69,https://instagram.com/emehachesaludybelleza,solo_red_social,alta
Centro Estético Mayka Castillo,· 644 88 68 57,,sin_web,muy_alta
